Ortholog_Group,ArcA,DcuR,Fnr,NarL,NarP,NsrR,TtrR
ABUJ63_RS11070,0,0,0,0,0,1,0
ABUJ63_RS11095,0,0,0,0,0,0,1
ABUJ63_RS11235,0,0,0,0,1,0,0
ABUJ63_RS11245,0,0,0,1,0,0,0
ABUJ63_RS11260,0,1,0,0,1,0,0
ABUJ63_RS11265,0,1,0,0,1,0,0
ABUJ63_RS11300,0,0,0,0,1,0,1
ABUJ63_RS11315,0,0,0,0,1,0,0
ABUJ63_RS11325,1,0,0,0,1,0,0
ABUJ63_RS11365,0,0,0,0,1,0,0
ABUJ63_RS11370,0,0,0,0,1,0,0
ABUJ63_RS11380,0,1,0,0,0,0,0
ABUJ63_RS11395,0,0,0,0,1,0,0
ABUJ63_RS11420,1,0,0,0,1,1,0
ABUJ63_RS11425,0,0,0,1,1,0,0
ABUJ63_RS11430,0,0,0,1,0,0,0
ABUJ63_RS11435,1,0,0,1,0,0,0
ABUJ63_RS11455,0,0,0,0,1,0,0
ABUJ63_RS11485,1,0,0,0,0,0,0
ABUJ63_RS11500,0,0,0,0,1,0,0
ABUJ63_RS11510,0,0,1,1,0,0,0
ABUJ63_RS11515,0,0,0,0,0,1,0
ABUJ63_RS11520,0,0,0,0,0,1,0
ABUJ63_RS11525,0,0,0,0,0,1,0
ABUJ63_RS11585,0,0,0,0,1,1,0
ABUJ63_RS11640,0,1,0,0,0,0,0
ABUJ63_RS11675,0,0,1,0,0,0,0
ABUJ63_RS11685,0,0,1,0,1,0,0
ABUJ63_RS11690,0,0,1,0,0,0,0
ABUJ63_RS11695,1,0,0,0,0,0,1
ABUJ63_RS11700,0,0,0,1,0,0,0
ABUJ63_RS11705,0,0,0,0,1,0,0
ABUJ63_RS11710,0,0,0,0,0,1,0
ABUJ63_RS11715,0,0,0,0,0,1,0
ABUJ63_RS11730,0,0,0,0,0,1,0
ABUJ63_RS11740,0,0,1,0,0,0,0
ABUJ63_RS11755,1,0,0,0,0,0,0
ABUJ63_RS11760,0,0,0,0,0,0,1
ABUJ63_RS11780,0,0,1,0,0,0,0
ABUJ63_RS11785,0,0,1,0,0,0,0
ABUJ63_RS11790,0,0,0,1,0,0,0
ABUJ63_RS11795,0,0,0,0,0,1,0
ABUJ63_RS11800,0,0,0,0,1,0,1
ABUJ63_RS11805,0,0,1,0,0,0,1
ABUJ63_RS11815,1,0,0,0,0,1,0
ABUJ63_RS11850,1,0,0,1,0,0,0
ABUJ63_RS11855,1,0,0,1,0,0,0
ABUJ63_RS11860,0,0,0,1,1,1,0
ABUJ63_RS11880,0,0,1,0,0,0,0
ABUJ63_RS11890,1,0,1,1,0,0,0
ABUJ63_RS11900,0,1,0,0,0,0,0
ABUJ63_RS11905,0,1,0,0,0,0,0
ABUJ63_RS11940,0,0,0,0,0,1,1
ABUJ63_RS11975,0,0,0,0,0,1,0
ABUJ63_RS12000,0,0,1,0,0,0,0
ABUJ63_RS12005,0,0,1,0,0,0,0
ABUJ63_RS12010,0,0,1,0,0,0,0
ABUJ63_RS12070,1,0,0,0,1,0,0
ABUJ63_RS12095,1,0,0,0,0,1,0
ABUJ63_RS12100,0,0,0,0,1,0,0
ABUJ63_RS12110,0,0,1,0,1,0,1
ABUJ63_RS12115,0,0,1,0,0,0,0
ABUJ63_RS12120,0,0,1,1,0,0,0
ABUJ63_RS12125,1,0,0,1,0,0,0
ABUJ63_RS12130,0,0,1,0,0,1,0
ABUJ63_RS12185,1,0,0,0,0,1,0
ABUJ63_RS12190,0,0,0,0,1,1,0
ABUJ63_RS12220,0,0,1,0,0,0,0
ABUJ63_RS12245,0,0,0,0,1,0,0
ABUJ63_RS12250,1,0,0,0,0,0,0
ABUJ63_RS12255,0,0,0,0,0,1,0
ABUJ63_RS12260,1,0,0,0,0,0,1
ABUJ63_RS12275,0,0,1,0,0,0,0
ABUJ63_RS12280,0,0,0,1,0,0,0
ABUJ63_RS12310,0,1,1,1,0,0,0
ABUJ63_RS12360,0,1,0,0,1,1,0
ABUJ63_RS12390,0,0,0,0,1,1,0
ABUJ63_RS12395,0,1,1,0,0,0,0
ABUJ63_RS12410,1,0,1,0,0,0,0
ABUJ63_RS12440,0,0,0,0,0,0,1
ABUJ63_RS12445,1,0,0,0,0,0,0
ABUJ63_RS12450,0,0,0,1,0,0,1
ABUJ63_RS12455,1,0,0,0,0,0,0
ABUJ63_RS12460,0,0,0,0,1,0,0
ABUJ63_RS12465,0,0,0,0,0,1,0
ABUJ63_RS12470,1,0,0,1,1,1,1
ABUJ63_RS12480,1,0,0,0,0,0,0
ABUJ63_RS12485,1,0,0,0,0,0,0
ABUJ63_RS12555,0,0,0,1,1,0,0
ABUJ63_RS12580,0,0,1,1,0,1,1
ABUJ63_RS12600,0,0,0,0,0,1,1
ABUJ63_RS12605,0,0,1,0,0,0,0
ABUJ63_RS12610,0,0,1,0,0,0,0
ABUJ63_RS12630,1,0,0,0,0,0,0
ABUJ63_RS12675,1,0,0,0,1,0,0
ABUJ63_RS12685,0,0,1,0,1,0,1
ABUJ63_RS12690,1,0,0,0,0,0,1
ABUJ63_RS12695,0,0,1,0,0,0,1
ABUJ63_RS12710,0,0,1,0,0,0,0
ABUJ63_RS12715,0,0,0,0,1,0,0
ABUJ63_RS12730,0,0,0,1,0,1,0
ABUJ63_RS12735,0,0,1,0,0,0,0
ABUJ63_RS12740,0,0,0,1,0,0,0
ABUJ63_RS12750,0,0,0,0,0,1,0
ABUJ63_RS12760,0,0,0,0,1,0,0
ABUJ63_RS12765,0,0,1,0,0,0,0
ABUJ63_RS12770,0,0,1,0,0,0,0
ABUJ63_RS12780,0,0,0,1,0,0,0
ABUJ63_RS12785,1,0,0,1,0,1,0
ABUJ63_RS12820,0,0,0,0,0,1,0
ABUJ63_RS12840,0,0,0,0,0,1,0
ABUJ63_RS12845,0,0,0,0,0,1,0
ABUJ63_RS12855,0,1,0,0,0,0,0
ABUJ63_RS12875,0,1,0,0,1,0,0
ABUJ63_RS12895,1,0,0,0,0,1,0
ABUJ63_RS12900,1,0,0,1,0,1,0
ABUJ63_RS12980,0,0,1,0,0,0,0
ABUJ63_RS13020,0,0,0,0,0,0,1
ABUJ63_RS13045,1,0,0,0,1,1,0
ABUJ63_RS13050,0,0,0,1,0,0,0
ABUJ63_RS13070,1,0,0,1,0,0,0
ABUJ63_RS13080,0,1,0,0,0,0,0
ABUJ63_RS13085,0,1,0,0,0,0,0
ABUJ63_RS13110,0,0,0,0,0,1,0
ABUJ63_RS13115,1,0,0,0,0,0,0
ABUJ63_RS13120,0,0,0,1,0,1,0
ABUJ63_RS13130,0,1,0,0,0,0,0
ABUJ63_RS13160,0,0,1,0,0,0,0
ABUJ63_RS13170,0,0,0,1,0,0,1
ABUJ63_RS13175,0,0,0,0,0,1,0
ABUJ63_RS13180,0,0,0,0,1,1,0
ABUJ63_RS13200,1,0,0,0,0,0,0
ABUJ63_RS13220,0,0,0,1,0,0,0
ABUJ63_RS13225,1,0,0,0,0,1,0
ABUJ63_RS13255,0,0,0,0,0,0,1
ABUJ63_RS13275,1,0,0,0,0,1,0
ABUJ63_RS13315,0,0,0,0,1,0,0
ABUJ63_RS13345,0,1,1,0,0,0,1
ABUJ63_RS13355,1,0,0,0,1,0,0
ABUJ63_RS13360,0,1,1,0,1,0,0
ABUJ63_RS13380,1,0,0,0,1,0,0
ABUJ63_RS13385,0,1,0,0,0,0,0
ABUJ63_RS13435,0,0,0,0,0,1,1
ABUJ63_RS13455,0,0,0,0,1,0,0
ABUJ63_RS13535,0,0,1,0,0,0,1
ABUJ63_RS13540,0,0,1,0,0,0,1
ABUJ63_RS13550,0,0,1,1,0,0,0
ABUJ63_RS13565,0,0,0,1,1,0,0
ABUJ63_RS13575,0,1,0,0,0,0,1
ABUJ63_RS13645,1,0,0,1,0,0,0
ABUJ63_RS13660,0,0,1,0,0,0,0
ABUJ63_RS13735,0,1,0,0,0,0,0
ABUJ63_RS13765,0,0,0,0,1,0,0
ABUJ63_RS13770,0,0,1,0,0,0,0
ABUJ63_RS13775,0,0,1,0,0,0,0
ABUJ63_RS13795,0,0,0,0,1,0,0
ABUJ63_RS13810,1,0,0,0,1,1,0
ABUJ63_RS13815,0,0,1,0,0,0,0
ABUJ63_RS13820,0,0,1,0,0,0,0
ABUJ63_RS13845,0,0,0,0,1,0,0
ABUJ63_RS13850,0,0,1,0,0,0,0
ABUJ63_RS13895,0,0,0,1,0,0,0
ABUJ63_RS13900,0,0,0,0,0,0,1
ABUJ63_RS13940,0,1,1,0,0,0,0
ABUJ63_RS14030,0,0,1,0,0,0,0
ABUJ63_RS14040,1,0,0,1,0,1,0
ABUJ63_RS14045,1,0,0,0,0,0,0
ABUJ63_RS14065,0,0,0,0,1,0,0
ABUJ63_RS14095,1,0,0,0,0,0,0
ABUJ63_RS14105,0,0,1,0,0,0,0
ABUJ63_RS14120,0,1,1,0,0,0,0
ABUJ63_RS14125,0,1,0,0,0,0,0
ABUJ63_RS14145,0,0,1,0,0,1,0
ABUJ63_RS14150,0,0,1,0,0,0,0
ABUJ63_RS14155,0,1,0,0,0,0,1
ABUJ63_RS14185,1,0,0,0,1,0,0
ABUJ63_RS14190,0,0,1,0,0,0,0
ABUJ63_RS14220,0,0,0,1,0,0,0
ABUJ63_RS14230,1,0,0,0,0,1,1
ABUJ63_RS14290,0,0,0,1,0,0,0
ABUJ63_RS14305,1,0,0,0,0,0,0
ABUJ63_RS14310,0,0,1,0,0,0,0
ABUJ63_RS14320,0,0,1,1,0,0,0
ABUJ63_RS14330,1,0,0,0,0,0,0
ABUJ63_RS14335,1,0,0,0,0,0,0
ABUJ63_RS14360,0,0,0,0,1,0,0
ABUJ63_RS14380,0,0,1,1,0,0,0
ABUJ63_RS14385,0,0,0,1,0,0,0
ABUJ63_RS14420,1,0,0,0,0,0,0
ABUJ63_RS14455,0,0,0,1,0,1,0
ABUJ63_RS14460,0,0,0,0,0,1,0
ABUJ63_RS14465,0,0,0,0,0,1,0
ABUJ63_RS14485,0,0,0,0,1,1,0
ABUJ63_RS14490,1,0,0,0,1,1,1
ABUJ63_RS14495,0,0,0,1,0,0,0
ABUJ63_RS14530,0,0,0,0,0,1,0
ABUJ63_RS14535,0,0,0,1,0,0,0
ABUJ63_RS14590,0,0,0,1,0,0,0
ABUJ63_RS14600,0,0,1,0,0,1,0
ABUJ63_RS14620,0,0,0,1,0,0,0
ABUJ63_RS14625,0,1,1,0,0,0,0
ABUJ63_RS14635,0,0,1,0,0,0,0
ABUJ63_RS14695,1,0,0,0,0,0,0
ABUJ63_RS14700,0,0,0,0,1,0,0
ABUJ63_RS14715,0,0,0,0,0,1,0
ABUJ63_RS14745,0,0,0,0,0,1,0
ABUJ63_RS14755,0,1,1,0,0,0,0
ABUJ63_RS14775,0,0,0,0,0,0,1
ABUJ63_RS14815,0,0,0,0,0,1,0
ABUJ63_RS14835,0,0,0,0,0,1,0
ABUJ63_RS14860,0,0,0,0,0,0,1
ABUJ63_RS14895,0,0,0,0,0,0,1
ABUJ63_RS14900,1,0,0,0,0,0,0
ABUJ63_RS14905,1,0,0,1,0,0,0
ABUJ63_RS14955,0,1,0,0,0,0,0
ABUJ63_RS14960,0,0,1,0,0,0,0
ABUJ63_RS14995,1,0,0,0,1,1,1
ABUJ63_RS15000,1,0,0,0,0,1,0
ABUJ63_RS15015,1,0,0,0,0,1,0
ABUJ63_RS15025,0,0,0,1,0,0,0
ABUJ63_RS15030,0,0,0,1,0,0,0
ABUJ63_RS15035,0,0,0,0,0,1,0
ABUJ63_RS15040,1,0,0,0,0,0,0
ABUJ63_RS15050,1,0,1,0,0,1,0
ABUJ63_RS15055,0,0,0,0,1,0,0
ABUJ63_RS15080,1,0,0,0,0,0,0
ABUJ63_RS15090,0,0,1,1,1,0,0
ABUJ63_RS15125,0,0,0,0,0,1,0
ABUJ63_RS15155,0,1,0,0,0,1,0
ABUJ63_RS15170,0,1,0,0,0,0,0
ABUJ63_RS15185,0,0,0,0,0,0,1
ABUJ63_RS15195,0,0,1,0,0,0,0
ABUJ63_RS15200,1,0,0,0,0,0,0
ABUJ63_RS15205,1,0,0,0,0,1,0
ABUJ63_RS15245,1,0,1,0,0,1,0
ABUJ63_RS15250,0,0,1,0,0,0,0
ABUJ63_RS15255,1,0,0,0,0,1,0
ABUJ63_RS15285,0,0,0,0,1,0,0
ABUJ63_RS15290,1,0,0,0,0,0,0
ABUJ63_RS15350,0,0,1,0,0,0,0
ABUJ63_RS15365,1,0,0,0,0,0,0
ABUJ63_RS15375,0,0,0,0,1,1,0
ABUJ63_RS15430,0,1,1,0,1,0,1
ABUJ63_RS15500,0,0,0,1,1,0,0
ABUJ63_RS15510,1,0,0,0,0,0,0
ABUJ63_RS15530,0,0,0,0,1,1,0
ABUJ63_RS15580,0,0,1,0,0,0,0
ABUJ63_RS15785,0,0,0,0,1,0,0
ABUJ63_RS15800,0,1,0,0,0,0,0
ABUJ63_RS15805,0,0,0,0,1,0,0
ABUJ63_RS15820,1,0,0,0,1,0,0
ABUJ63_RS15825,0,0,0,1,0,0,0
ABUJ63_RS15845,0,0,0,1,0,1,1
ABUJ63_RS15860,1,0,0,0,0,1,0
ABUJ63_RS15905,1,0,0,1,0,0,0
ABUJ63_RS15910,0,0,0,0,0,1,0
ABUJ63_RS15925,0,0,0,1,1,0,0
ABUJ63_RS15930,1,0,0,0,0,0,0
ABUJ63_RS16050,0,0,0,1,0,0,0
ABUJ63_RS16070,1,0,0,0,0,0,0
ABUJ63_RS16080,1,0,0,0,0,0,0
ABUJ63_RS16090,1,0,1,0,0,0,1
ABUJ63_RS16100,0,0,0,0,0,1,0
ABUJ63_RS16110,0,0,0,0,1,0,0
ABUJ63_RS16120,0,0,0,0,1,1,1
ABUJ63_RS16135,0,0,1,0,0,0,0
ABUJ63_RS16140,0,0,0,0,1,0,0
ABUJ63_RS16145,1,0,0,0,0,0,0
ABUJ63_RS16150,0,0,0,1,0,1,0
ABUJ63_RS16160,1,0,0,1,1,0,0
ABUJ63_RS16165,0,0,1,0,0,0,0
ABUJ63_RS16175,0,0,0,0,0,1,0
ABUJ63_RS16180,0,0,1,0,0,0,0
ABUJ63_RS16185,0,0,1,0,0,0,0
ABUJ63_RS16235,0,0,0,0,1,0,0
ABUJ63_RS16250,0,0,0,0,1,0,0
ABUJ63_RS16295,0,1,1,0,0,0,0
ABUJ63_RS16300,1,0,0,0,0,0,0
ABUJ63_RS16315,0,0,0,0,0,1,0
ABUJ63_RS16325,0,0,1,1,0,1,0
ABUJ63_RS16350,0,0,0,0,0,1,0
ABUJ63_RS16375,0,0,0,0,1,1,0
ABUJ63_RS16380,0,0,0,0,1,1,0
ABUJ63_RS16410,0,0,0,0,1,1,0
ABUJ63_RS16420,0,0,0,0,0,0,1
ABUJ63_RS16440,0,0,0,0,0,0,1
ABUJ63_RS16450,0,1,0,0,0,0,0
ABUJ63_RS16480,0,0,1,0,0,0,0
ABUJ63_RS16510,0,0,0,1,1,1,0
ABUJ63_RS16515,0,0,0,0,0,1,0
ABUJ63_RS16565,0,0,1,0,0,0,0
ABUJ63_RS16570,0,1,0,0,0,0,0
ABUJ63_RS16590,1,1,0,0,0,0,0
ABUJ63_RS16615,0,0,0,0,0,1,0
ABUJ63_RS16620,0,0,1,1,0,0,0
ABUJ63_RS16625,0,0,1,0,0,0,0
ABUJ63_RS16630,0,0,1,0,1,0,0
ABUJ63_RS16635,0,0,0,0,0,0,1
ABUJ63_RS16645,0,0,1,0,0,0,0
ABUJ63_RS16650,1,0,0,0,0,0,0
ABUJ63_RS16655,0,0,0,0,1,0,0
ABUJ63_RS16660,0,1,0,0,0,0,0
ABUJ63_RS16680,1,0,0,0,0,0,0
ABUJ63_RS16715,0,1,0,0,1,0,0
ABUJ63_RS16735,0,0,1,0,0,0,0
ABUJ63_RS16795,1,0,0,0,0,0,0
ABUJ63_RS16815,0,0,1,0,1,0,0
ABUJ63_RS16825,1,0,0,0,0,0,0
ABUJ63_RS16830,0,1,1,0,0,0,0
ABUJ63_RS16835,0,0,0,1,0,1,0
ABUJ63_RS16850,0,0,0,1,0,0,0
ABUJ63_RS16860,0,0,0,1,0,1,0
ABUJ63_RS16930,0,0,0,1,0,0,1
ABUJ63_RS16935,1,0,1,0,0,0,0
ABUJ63_RS16940,0,0,1,0,0,0,0
ABUJ63_RS16990,1,1,0,1,0,1,0
ABUJ63_RS17010,0,0,0,0,0,1,0
ABUJ63_RS17025,0,0,0,1,0,0,0
ABUJ63_RS17040,0,0,0,1,1,1,0
ABUJ63_RS17080,1,0,0,1,0,1,0
ABUJ63_RS17100,0,0,0,0,0,1,0
ABUJ63_RS17135,0,0,0,1,0,0,0
ABUJ63_RS17145,1,0,0,1,0,1,0
ABUJ63_RS17195,0,0,1,0,0,0,0
ABUJ63_RS17220,0,1,0,0,1,0,0
ABUJ63_RS17225,0,1,0,0,0,0,0
ABUJ63_RS17240,0,0,0,0,0,1,0
ABUJ63_RS17245,1,0,0,0,0,0,0
ABUJ63_RS17265,0,0,0,0,0,0,1
ABUJ63_RS17280,0,0,1,0,0,0,0
ABUJ63_RS17285,0,0,0,0,1,1,0
ABUJ63_RS17300,1,0,0,0,0,0,0
ABUJ63_RS17305,0,1,1,0,0,0,0
ABUJ63_RS17310,0,0,0,0,0,1,0
ABUJ63_RS17315,0,0,1,0,0,0,0
ABUJ63_RS17330,0,0,0,0,0,1,0
ABUJ63_RS17360,1,0,0,0,0,0,0
ABUJ63_RS17385,1,0,0,0,0,0,0
ABUJ63_RS17390,0,0,1,0,0,0,0
ABUJ63_RS17410,0,1,0,0,1,0,0
ABUJ63_RS17415,0,0,1,0,1,0,0
ABUJ63_RS17420,1,0,0,1,0,0,1
ABUJ63_RS17440,1,1,0,0,0,0,0
ABUJ63_RS17450,1,0,0,0,1,1,0
ABUJ63_RS17470,0,1,0,0,0,0,1
ABUJ63_RS17475,0,1,1,0,0,0,0
ABUJ63_RS17480,0,0,1,0,0,0,0
ABUJ63_RS17485,0,1,0,0,0,0,0
ABUJ63_RS17500,0,0,1,0,0,0,0
ABUJ63_RS17505,1,0,0,0,0,1,0
ABUJ63_RS17510,0,0,1,0,0,0,0
ABUJ63_RS17515,0,0,0,0,0,0,1
ABUJ63_RS17525,0,0,1,0,0,0,0
ABUJ63_RS17530,0,0,1,0,0,0,0
ABUJ63_RS17545,0,1,0,0,0,0,0
ABUJ63_RS17550,0,0,0,0,0,1,0
ABUJ63_RS17555,0,0,0,0,0,1,0
ABUJ63_RS17615,0,1,1,0,0,0,0
ABUJ63_RS17620,0,0,0,1,0,0,0
ABUJ63_RS17625,0,0,0,0,1,0,0
ABUJ63_RS17695,0,0,1,0,0,0,0
ABUJ63_RS17705,0,0,1,1,0,0,0
ABUJ63_RS17775,0,0,0,1,0,1,0
ABUJ63_RS17815,0,0,0,0,0,1,0
ABUJ63_RS17820,0,0,0,1,0,0,0
ABUJ63_RS17825,0,0,0,1,0,0,0
ABUJ63_RS17855,0,1,0,0,0,0,0
ABUJ63_RS17860,0,0,1,0,1,1,0
ABUJ63_RS17865,0,0,0,0,1,1,0
ABUJ63_RS17885,0,1,0,0,0,0,0
ABUJ63_RS17925,1,0,0,1,0,0,0
ABUJ63_RS17935,0,0,0,1,1,1,0
ABUJ63_RS17955,0,1,1,0,0,0,0
ABUJ63_RS17960,1,0,0,1,1,0,0
ABUJ63_RS17975,0,0,0,1,0,1,0
ABUJ63_RS18010,1,0,0,0,0,1,1
ABUJ63_RS18015,0,0,0,1,1,0,0
ABUJ63_RS18040,1,0,1,0,1,0,1
ABUJ63_RS18045,0,0,0,0,1,0,0
ABUJ63_RS18050,1,0,0,0,1,0,0
ABUJ63_RS18055,0,0,0,0,0,0,1
ABUJ63_RS18065,0,0,0,1,1,0,1
ABUJ63_RS18080,0,0,1,1,0,0,0
ABUJ63_RS18085,0,0,1,1,1,1,0
ABUJ63_RS18100,0,0,0,0,0,0,1
ABUJ63_RS18105,0,0,0,0,1,0,0
ABUJ63_RS18115,0,0,0,0,1,0,0
ABUJ63_RS18150,1,0,0,0,1,0,0
ABUJ63_RS18155,1,0,0,0,1,0,0
ABUJ63_RS18160,0,0,0,1,0,0,0
ABUJ63_RS18170,0,0,0,1,0,0,0
ABUJ63_RS18180,0,1,1,0,0,0,0
ABUJ63_RS18190,0,0,0,0,1,0,0
ABUJ63_RS18195,0,0,0,1,0,0,0
ABUJ63_RS18200,0,0,0,0,1,0,0
ABUJ63_RS18210,0,1,0,0,0,0,0
ABUJ63_RS18220,0,1,0,0,0,0,0
ABUJ63_RS18265,0,0,0,0,0,0,1
ABUJ63_RS18270,1,0,0,0,0,0,0
ABUJ63_RS18300,0,0,0,1,0,0,0
ABUJ63_RS18305,0,0,0,0,1,1,0
ABUJ63_RS18310,0,0,0,1,0,0,0
ABUJ63_RS18315,0,0,0,1,0,0,0
ABUJ63_RS18320,0,0,0,1,0,0,0
ABUJ63_RS18350,0,0,0,0,1,0,0
ABUJ63_RS18360,0,1,0,0,0,0,0
ABUJ63_RS18370,0,0,0,0,0,0,1
ABUJ63_RS18395,0,0,0,1,0,1,0
ABUJ63_RS18410,0,0,0,0,0,0,1
ABUJ63_RS18415,0,0,0,0,1,0,0
ABUJ63_RS18420,0,0,0,1,0,0,0
ABUJ63_RS18425,0,0,0,1,0,0,0
ABUJ63_RS18430,0,1,0,0,0,0,0
ABUJ63_RS18435,0,1,0,0,0,0,0
ABUJ63_RS18440,1,0,0,1,0,1,0
ABUJ63_RS18470,1,0,1,0,0,0,0
ABUJ63_RS18520,0,0,0,0,0,0,1
ABUJ63_RS18545,0,0,1,0,0,0,0
ABUJ63_RS18560,1,0,0,0,0,0,0
ABUJ63_RS18575,0,0,0,0,1,0,0
ABUJ63_RS18620,0,0,0,1,0,0,0
ABUJ63_RS18675,0,0,1,0,0,0,0
ABUJ63_RS18720,0,0,1,0,1,0,0
ABUJ63_RS18770,0,0,1,0,0,0,0
ABUJ63_RS18845,1,1,0,1,1,1,0
ABUJ63_RS18850,1,0,0,1,1,0,0
ABUJ63_RS18855,1,0,0,1,1,0,0
ABUJ63_RS18860,0,0,0,1,0,0,0
ABUJ63_RS18890,1,0,0,1,0,0,0
ABUJ63_RS18900,0,0,1,0,0,0,0
ABUJ63_RS18920,1,0,0,1,0,0,1
ABUJ63_RS18970,0,0,0,0,0,1,0
ABUJ63_RS19015,0,0,0,1,0,0,0
ABUJ63_RS19135,0,0,1,0,0,0,0
ABUJ63_RS19145,0,0,0,0,1,1,1
ABUJ63_RS19155,0,0,0,0,0,1,0
ABUJ63_RS19195,0,0,1,0,1,0,0
ABUJ63_RS19205,1,0,0,0,0,0,1
ABUJ63_RS19250,0,0,1,0,0,1,0
ABUJ63_RS19255,0,1,1,0,0,1,0
ABUJ63_RS19260,1,0,0,0,0,0,0
ABUJ63_RS19285,0,0,0,0,1,1,0
ABUJ63_RS19305,0,0,0,1,0,0,0
ABUJ63_RS19310,1,0,0,0,0,1,1
ABUJ63_RS19370,0,0,0,0,1,1,0
ABUJ63_RS19400,1,0,0,0,0,1,0
ABUJ63_RS19405,1,0,0,0,0,1,1
ABUJ63_RS19475,0,0,0,0,1,0,0
ABUJ63_RS19495,1,0,0,0,0,0,0
ABUJ63_RS19525,1,0,0,0,0,0,0
ABUJ63_RS19585,0,0,0,0,0,0,1
ABUJ63_RS19625,1,0,0,0,0,1,1
ABUJ63_RS19630,0,0,0,0,1,0,0
ABUJ63_RS19635,0,0,1,1,0,0,0
ABUJ63_RS19640,1,0,0,0,1,0,0
ABUJ63_RS19650,1,0,0,0,1,0,0
ABUJ63_RS19660,0,0,1,1,0,0,0
ABUJ63_RS19665,0,0,0,1,0,0,0
ABUJ63_RS19675,0,0,0,0,1,0,0
ABUJ63_RS19695,0,0,0,0,1,0,0
ABUJ63_RS19705,1,0,0,0,0,0,1
ABUJ63_RS19765,0,0,0,0,0,1,0
ABUJ63_RS19825,0,0,1,0,0,0,0
ABUJ63_RS19830,0,1,0,0,0,0,0
ABUJ63_RS19890,1,0,0,1,0,0,1
ABUJ63_RS19960,0,1,0,0,0,0,0
ABUJ63_RS19980,0,0,1,0,0,0,1
ABUJ63_RS19985,0,0,1,0,0,0,0
ABUJ63_RS19995,0,1,0,1,0,1,0
ABUJ63_RS20135,0,0,1,0,1,1,0
ABUJ63_RS20160,0,0,0,1,1,1,0
ABUJ63_RS20200,0,0,0,0,1,0,0
ABUJ63_RS20215,0,0,0,0,0,1,1
ABUJ63_RS20220,0,0,1,0,0,0,1
ABUJ63_RS20280,0,1,1,0,0,0,0
ABUJ63_RS20290,0,0,0,0,0,1,0
ABUJ63_RS20300,0,0,0,0,0,1,0
ABUJ63_RS20335,0,0,1,0,0,0,0
ABUJ63_RS20345,0,0,0,0,0,1,0
ABUJ63_RS20375,0,1,1,0,0,0,0
ABUJ63_RS20380,0,0,1,0,0,0,0
ABUJ63_RS20385,0,1,0,0,0,0,0
ABUJ63_RS20395,0,0,0,0,1,1,0
ABUJ63_RS20460,0,0,1,0,0,0,0
ABUJ63_RS20475,1,0,0,0,0,0,0
ABUJ63_RS20495,0,1,0,0,0,0,0
ABUJ63_RS20545,0,0,1,0,0,0,0
ABUJ63_RS20570,0,0,1,0,0,0,0
ABUJ63_RS20575,0,0,0,1,0,0,0
ABUJ63_RS20580,0,0,0,1,0,0,0
ABUJ63_RS20610,1,0,0,1,0,1,0
ABUJ63_RS20615,0,0,0,0,0,1,0
ABUJ63_RS20660,1,0,0,0,0,0,0
ABUJ63_RS20720,1,0,0,0,0,0,0
ABUJ63_RS20735,0,0,1,0,0,0,0
ABUJ63_RS20830,1,0,0,0,1,0,0
ABUJ63_RS20835,0,0,0,0,0,1,0
ABUJ63_RS20845,0,0,0,0,1,0,0
ABUJ63_RS20850,1,0,0,0,0,1,0
ABUJ63_RS20855,1,0,0,0,1,0,0
ABUJ63_RS20860,0,0,0,1,1,0,0
ABUJ63_RS20865,0,0,0,1,1,0,0
ABUJ63_RS20870,0,0,0,0,0,0,1
ABUJ63_RS20875,1,0,0,1,0,0,1
ABUJ63_RS20880,0,0,0,0,0,1,0
ABUJ63_RS20895,1,0,1,0,1,0,0
ABUJ63_RS20910,0,0,0,1,0,0,0
ABUJ63_RS20915,1,0,0,0,0,0,0
ABUJ63_RS20920,1,0,0,1,0,0,0
ABUJ63_RS20925,1,0,0,0,0,0,0
ABUJ63_RS20930,1,0,0,1,0,0,0
ABUJ63_RS20940,0,0,0,1,0,0,0
ABUJ63_RS20955,1,0,0,0,0,0,0
ABUJ63_RS20965,0,0,0,1,0,0,0
ABUJ63_RS20975,1,0,0,1,0,1,0
ABUJ63_RS20985,0,0,0,0,0,1,0
ABUJ63_RS20990,0,0,0,1,0,0,0
ABUJ63_RS21000,0,0,1,0,1,0,0
ABUJ63_RS21015,0,0,1,0,0,0,0
ABUJ63_RS21030,0,0,0,1,1,0,1
ABUJ63_RS21050,1,1,0,0,1,0,0
ABUJ63_RS21080,0,1,0,0,0,0,0
ABUJ63_RS21090,0,0,0,0,1,0,0
ABUJ63_RS21100,0,0,1,0,0,0,0
ABUJ63_RS21115,0,0,0,1,0,0,0
ABUJ63_RS21120,0,0,1,0,0,0,0
ABUJ63_RS21130,0,1,0,0,0,0,0
ABUJ63_RS21135,0,1,0,0,1,0,0
ABUJ63_RS21155,0,0,0,1,1,1,0
ABUJ63_RS21175,0,0,0,0,0,1,0
ABUJ63_RS21180,0,0,0,0,0,0,1
ABUJ63_RS21185,0,0,1,0,0,0,0
ABUJ63_RS21195,0,0,1,0,0,0,0
ABUJ63_RS21205,0,1,1,1,0,0,0
ABUJ63_RS21210,1,1,0,0,1,0,0
ABUJ63_RS21215,1,0,0,0,0,0,0
